         Date TotalSteps    Month Day
1  2012-10-01         NA  October   1
2  2012-10-02  0.4375000  October   2
3  2012-10-03 39.4166667  October   3
4  2012-10-04 42.0694444  October   4
5  2012-10-05 46.1597222  October   5
6  2012-10-06 53.5416667  October   6
7  2012-10-07 38.2465278  October   7
8  2012-10-08         NA  October   8
9  2012-10-09 44.4826389  October   9
10 2012-10-10 34.3750000  October  10
11 2012-10-11 35.7777778  October  11
12 2012-10-12 60.3541667  October  12
13 2012-10-13 43.1458333  October  13
14 2012-10-14 52.4236111  October  14
15 2012-10-15 35.2048611  October  15
16 2012-10-16 52.3750000  October  16
17 2012-10-17 46.7083333  October  17
18 2012-10-18 34.9166667  October  18
19 2012-10-19 41.0729167  October  19
20 2012-10-20 36.0937500  October  20
21 2012-10-21 30.6284722  October  21
22 2012-10-22 46.7361111  October  22
23 2012-10-23 30.9652778  October  23
24 2012-10-24 29.0104167  October  24
25 2012-10-25  8.6527778  October  25
26 2012-10-26 23.5347222  October  26
27 2012-10-27 35.1354167  October  27
28 2012-10-28 39.7847222  October  28
29 2012-10-29 17.4236111  October  29
30 2012-10-30 34.0937500  October  30
31 2012-10-31 53.5208333  October  31
32 2012-11-01         NA November   1
33 2012-11-02 36.8055556 November   2
34 2012-11-03 36.7048611 November   3
35 2012-11-04         NA November   4
36 2012-11-05 36.2465278 November   5
37 2012-11-06 28.9375000 November   6
38 2012-11-07 44.7326389 November   7
39 2012-11-08 11.1770833 November   8
40 2012-11-09         NA November   9
41 2012-11-10         NA November  10
42 2012-11-11 43.7777778 November  11
43 2012-11-12 37.3784722 November  12
44 2012-11-13 25.4722222 November  13
45 2012-11-14         NA November  14
46 2012-11-15  0.1423611 November  15
47 2012-11-16 18.8923611 November  16
48 2012-11-17 49.7881944 November  17
49 2012-11-18 52.4652778 November  18
50 2012-11-19 30.6979167 November  19
51 2012-11-20 15.5277778 November  20
52 2012-11-21 44.3993056 November  21
53 2012-11-22 70.9270833 November  22
54 2012-11-23 73.5902778 November  23
55 2012-11-24 50.2708333 November  24
56 2012-11-25 41.0902778 November  25
57 2012-11-26 38.7569444 November  26
58 2012-11-27 47.3819444 November  27
59 2012-11-28 35.3576389 November  28
60 2012-11-29 24.4687500 November  29
61 2012-11-30         NA November  30
