         Date Steps
1  2012-10-02  63.0
2  2012-10-03  61.0
3  2012-10-04  56.5
4  2012-10-05  66.0
5  2012-10-06  67.0
6  2012-10-07  52.5
7  2012-10-09  48.0
8  2012-10-10  56.5
9  2012-10-11  35.0
10 2012-10-12  46.0
11 2012-10-13  45.5
12 2012-10-14  60.5
13 2012-10-15  54.0
14 2012-10-16  64.0
15 2012-10-17  61.5
16 2012-10-18  52.5
17 2012-10-19  74.0
18 2012-10-20  49.0
19 2012-10-21  48.0
20 2012-10-22  52.0
21 2012-10-23  56.0
22 2012-10-24  51.5
23 2012-10-25  35.0
24 2012-10-26  36.5
25 2012-10-27  72.0
26 2012-10-28  61.0
27 2012-10-29  54.5
28 2012-10-30  40.0
29 2012-10-31  83.5
30 2012-11-02  55.5
31 2012-11-03  59.0
32 2012-11-05  66.0
33 2012-11-06  52.0
34 2012-11-07  58.0
35 2012-11-08  42.5
36 2012-11-11  55.0
37 2012-11-12  42.0
38 2012-11-13  57.0
39 2012-11-15  20.5
40 2012-11-16  43.0
41 2012-11-17  65.5
42 2012-11-18  80.0
43 2012-11-19  34.0
44 2012-11-20  58.0
45 2012-11-21  55.0
46 2012-11-22  65.0
47 2012-11-23 113.0
48 2012-11-24  65.5
49 2012-11-25  84.0
50 2012-11-26  53.0
51 2012-11-27  57.0
52 2012-11-28  70.0
53 2012-11-29  44.5
