    Interval   Average
5         20   4.00000
32       345   4.00000
19       140   4.50000
256     2245   6.00000
268     2350   6.00000
3         10   7.00000
11        55   7.00000
23       225   7.00000
4         15   8.00000
10        50   8.00000
14       110   8.00000
18       135   9.00000
36       420   9.00000
20       145  10.00000
30       335  10.33333
27       320  11.00000
43       455  11.80000
24       235  12.00000
31       340  13.00000
21       150  14.00000
41       445  14.66667
263     2325  16.80000
12       100  17.00000
255     2240  17.00000
267     2345  17.00000
39       435  17.50000
2          5  18.00000
15       115  18.00000
37       425  19.00000
269     2355  19.00000
25       250  20.50000
44       505  20.75000
261     2315  22.00000
17       130  24.25000
34       405  25.00000
247     2200  25.66667
6         25  27.75000
246     2155  27.80000
7         30  28.00000
257     2250  28.33333
29       330  28.66667
259     2300  29.16667
22       210  30.00000
1          0  30.33333
240     2125  30.35714
33       400  31.50000
28       325  33.00000
42       450  33.00000
35       410  34.00000
264     2330  34.50000
13       105  36.00000
49       530  37.00000
9         45  39.00000
48       525  39.25000
46       515  39.66667
45       510  39.75000
216     1925  42.23077
38       430  43.60000
47       520  44.00000
8         35  46.00000
243     2140  46.00000
248     2205  48.75000
26       255  50.00000
260     2305  50.33333
262     2320  51.00000
235     2100  56.33333
250     2215  56.37500
159     1440  56.68750
266     2340  58.33333
254     2235  58.50000
16       125  59.00000
239     2120  60.00000
217     1930  60.50000
40       440  61.66667
251     2220  62.50000
238     2115  63.75000
249     2210  63.75000
50       535  64.20000
241     2130  64.75000
236     2105  65.21429
225     2010  68.33333
198     1755  68.44828
215     1920  68.75000
223     2000  69.33333
117     1110  70.62500
65       650  70.71429
245     2150  71.83333
197     1750  73.72000
253     2230  73.85714
158     1435  76.73684
114     1055  76.95455
199     1800  77.00000
237     2110  77.68750
78       755  78.31579
220     1945  79.64706
219     1940  80.05000
68       705  81.10345
234     2055  82.15385
244     2145  82.60000
265     2335  83.00000
67       700  86.00000
231     2040  86.33333
69       710  86.35484
72       725  87.16129
99       940  87.60000
120     1125  87.68750
121     1130  88.60000
146     1335  88.80000
66       655  89.62069
74       735  90.34615
134     1235  90.42105
252     2225  92.20000
200     1805  93.18182
63       640  93.32000
232     2045  94.16667
233     2050  95.11111
203     1820  95.18182
75       740  95.51724
77       750  95.81250
214     1915  97.51724
64       645  97.54167
101      950  97.57895
115     1100  97.76471
100      945  97.80952
116     1105  98.31250
160     1445  98.71429
222     1955  98.72222
112     1045 100.13333
135     1240 100.42857
113     1050 102.30769
79       800 102.34211
76       745 102.38889
230     2035 102.81818
80       805 103.28571
226     2015 103.94118
118     1115 104.15385
62       635 104.25000
71       720 105.84000
218     1935 106.05000
196     1745 106.96429
119     1120 107.42857
195     1740 107.56757
242     2135 108.00000
206     1835 109.30556
201     1810 109.97222
155     1420 110.58824
157     1430 110.90000
70       715 111.11538
229     2030 111.30769
123     1140 111.40000
212     1905 111.48649
102      955 111.60000
224     2005 112.00000
187     1700 112.31818
213     1910 113.92593
205     1830 114.38889
125     1150 116.19048
194     1735 117.11111
73       730 118.04000
137     1250 119.40000
190     1715 120.18519
209     1850 120.76316
132     1225 120.86364
161     1450 121.68421
258     2255 122.00000
189     1710 122.18182
202     1815 122.21622
207     1840 122.24324
204     1825 123.86207
156     1425 124.37500
211     1900 124.94444
61       630 125.63636
145     1330 125.88889
122     1135 126.14286
208     1845 128.56098
185     1650 128.89474
154     1415 129.05000
152     1405 131.14286
124     1145 131.33333
163     1500 132.58333
98       935 133.16667
136     1245 133.33333
210     1855 133.44118
165     1510 134.35714
221     1950 134.44444
193     1730 135.33333
186     1655 136.17647
162     1455 136.47059
164     1505 136.57143
133     1230 137.47619
107     1020 137.53333
191     1720 137.64286
109     1030 138.05882
60       625 138.61111
52       545 138.85714
149     1350 139.33333
131     1220 140.00000
139     1300 140.25000
228     2025 140.25000
184     1645 141.70588
148     1345 141.90000
227     2020 142.10000
126     1155 142.59091
143     1320 144.17647
153     1410 144.37500
181     1630 145.31250
182     1635 146.00000
166     1515 147.07143
127     1200 147.17391
183     1640 147.93750
168     1525 148.88235
175     1600 149.68182
147     1340 151.28571
97       930 159.50000
150     1355 161.15000
167     1520 162.40000
140     1305 162.61538
151     1400 164.16667
110     1035 165.25000
144     1325 166.16667
111     1040 167.18182
192     1725 167.36000
179     1620 167.55556
58       615 168.15000
54       555 168.42857
51       540 169.80000
169     1530 170.06667
188     1705 175.52941
59       620 176.53333
104     1005 178.75000
103     1000 179.16667
93       910 180.71875
130     1215 182.11111
55       600 185.44444
178     1615 186.00000
129     1210 186.18519
105     1010 187.33333
138     1255 187.68421
176     1605 188.83333
95       920 189.55172
141     1310 191.08333
108     1025 192.28571
170     1535 192.33333
128     1205 193.66667
142     1315 197.45455
94       915 204.64286
81       810 207.87879
106     1015 214.69231
57       610 219.23077
174     1555 222.50000
180     1625 226.28571
172     1545 227.34783
91       900 230.39394
96       925 231.18182
92       905 234.78571
83       820 245.16216
177     1610 246.93750
84       825 249.57576
85       830 261.02778
56       605 261.10000
53       550 261.37500
173     1550 270.60000
171     1540 274.62500
90       855 285.54839
82       815 287.89655
87       840 296.68571
88       845 307.00000
89       850 324.00000
86       835 352.48387
