         Date TotalSteps    Month Day
1  2012-10-01         NA  October   1
2  2012-10-02        127  October   2
3  2012-10-03      11353  October   3
4  2012-10-04      12117  October   4
5  2012-10-05      13295  October   5
6  2012-10-06      15421  October   6
7  2012-10-07      11016  October   7
8  2012-10-08         NA  October   8
9  2012-10-09      12812  October   9
10 2012-10-10       9901  October  10
11 2012-10-11      10305  October  11
12 2012-10-12      17383  October  12
13 2012-10-13      12427  October  13
14 2012-10-14      15099  October  14
15 2012-10-15      10140  October  15
16 2012-10-16      15085  October  16
17 2012-10-17      13453  October  17
18 2012-10-18      10057  October  18
19 2012-10-19      11830  October  19
20 2012-10-20      10396  October  20
21 2012-10-21       8822  October  21
22 2012-10-22      13461  October  22
23 2012-10-23       8919  October  23
24 2012-10-24       8356  October  24
25 2012-10-25       2493  October  25
26 2012-10-26       6779  October  26
27 2012-10-27      10120  October  27
28 2012-10-28      11459  October  28
29 2012-10-29       5019  October  29
30 2012-10-30       9820  October  30
31 2012-10-31      15415  October  31
32 2012-11-01         NA November   1
33 2012-11-02      10601 November   2
34 2012-11-03      10572 November   3
35 2012-11-04         NA November   4
36 2012-11-05      10440 November   5
37 2012-11-06       8335 November   6
38 2012-11-07      12884 November   7
39 2012-11-08       3220 November   8
40 2012-11-09         NA November   9
41 2012-11-10         NA November  10
42 2012-11-11      12609 November  11
43 2012-11-12      10766 November  12
44 2012-11-13       7337 November  13
45 2012-11-14         NA November  14
46 2012-11-15         42 November  15
47 2012-11-16       5442 November  16
48 2012-11-17      14340 November  17
49 2012-11-18      15111 November  18
50 2012-11-19       8842 November  19
51 2012-11-20       4473 November  20
52 2012-11-21      12788 November  21
53 2012-11-22      20428 November  22
54 2012-11-23      21195 November  23
55 2012-11-24      14479 November  24
56 2012-11-25      11835 November  25
57 2012-11-26      11163 November  26
58 2012-11-27      13647 November  27
59 2012-11-28      10184 November  28
60 2012-11-29       7048 November  29
61 2012-11-30         NA November  30
